ID,Leaf_shape,Leaf_edge,n_shoot_axis,Tray,Row,Column,Comments
468-6,o,g,4,11,4,5,
447-1,o,g,5,11,4,6,
471-5,Na,Na,Na,11,5,1,
468-16,o,g,3,11,5,2,
468-11,n,n,4,11,5,3,
471-1,n,n,5,11,5,4,
469-4,Na,Na,Na,11,5,5,
447-2,n,g,6,11,5,6,
471-6,Na,Na,Na,11,6,1,
447-7,Na,Na,Na,11,6,2,
471-7,n,n,5,11,6,3,
448-2,o,g,5,11,6,4,
447-3,n,n,7,11,6,5,
447-8,n,n,7,11,6,6,
448-8,o,g,6,11,7,1,
448-3,l,g,5,11,7,2,
471-2,n,n,5,11,7,3,
470-1,Na,Na,Na,11,7,4,
468-17,n,g,1,11,7,5,
468-12,n,n,1,11,7,6,
470-2,Na,Na,Na,11,8,1,
469-1,Na,Na,Na,11,8,2,
471-3,n,n,4,11,8,3,
468-7,n,n,3,11,8,4,
471-8,Na,Na,Na,11,8,5,Really small
471-4,n,n,1,11,8,6,
448-13,n,n,1,12,1,1,
448-14,l,g,4,12,1,2,
448-15,l,g,5,12,1,3,
448-16,n,n,1,12,1,4,
448-17,n,n,1,12,1,5,
448-18,n,n,1,12,1,6,
448-9,n,n,5,12,2,1,
448-4,l,n,5,12,2,2,
448-10,n,n,6,12,2,3,
448-11,o,g,2,12,2,4,
448-12,n,n,6,12,2,5,
448-7,n,n,5,12,2,6,
448-5,n,n,2,12,3,1,
448-6,n,n,5,12,3,2,
447-10,n,n,6,12,3,3,
448-1,n,n,1,12,3,4,
447-6,n,n,5,12,3,5,
447-9,n,n,5,12,3,6,
447-4,l,s,6,12,4,1,
447-5,o,g,4,12,4,2,
471-9,Na,Na,Na,12,4,3,
449-5,l,g,4,12,4,4,
449-6,n,n,4,12,4,5,
449-4,n,n,6,12,4,6,
449-11,n,n,4,12,5,1,
449-3,n,n,6,12,5,2,
449-10,n,n,5,12,5,3,
449-9,n,n,4,12,5,4,
449-17,n,g,4,12,5,5,
449-2,n,g,5,12,5,6,
449-1,n,n,4,12,6,1,
449-8,n,n,4,12,6,2,
449-7,n,n,4,12,6,3,
449-16,o,g,4,12,6,4,
449-15,l,n,2,12,6,5,
450-1,n,n,5,12,6,6,
449-13,o,g,6,12,7,1,
449-14,o,g,5,12,7,2,
449-12,n,n,5,12,7,3,
449-21,n,n,3,12,7,4,
449-19,n,n,5,12,7,5,
449-20,o,g,3,12,7,6,
451-2,l,g,4,12,8,1,
451-3,o,g,3,12,8,2,
449-18,l,g,3,12,8,3,
451-1,l,s,7,12,8,4,
450-3,l,g,7,12,8,5,
450-4,n,n,3,12,8,6,
451-8,o,g,6,13,1,1,
451-7,l,n,3,13,1,2,
450-2,o,g,6,13,1,3,
451-6,n,n,4,13,1,4,
451-5,n,n,4,13,1,5,
451-4,n,n,6,13,1,6,
451-14,n,n,6,13,2,1,
451-13,n,n,2,13,2,2,
451-12,n,n,10,13,2,3,
451-11,l,g,1,13,2,4,
451-10,n,n,6,13,2,5,
451-9,n,n,6,13,2,6,
452-3,l,n,5,13,3,1,
421-2,Na,Na,Na,13,3,2,
452-1,l,s,6,13,3,3,
451-16,Na,Na,Na,13,3,4,
451-15,n,n,4,13,3,5,
452-4,n,n,6,13,3,6,
452-9,o,g,5,13,4,1,
452-8,Na,Na,Na,13,4,2,
452-7,Na,Na,Na,13,4,3,
452-6,n,n,7,13,4,4,
452-5,Na,Na,Na,13,4,5,
453-1,l,n,4,13,4,6,
453-5,o,g,3,13,5,1,
453-4,o,n,5,13,5,2,
453-3,n,n,4,13,5,3,
453-2,o,g,6,13,5,4,
453-11,n,n,5,13,5,5,
453-10,n,n,4,13,5,6,
453-9,l,n,5,13,6,1,
453-8,o,g,6,13,6,2,
453-7,n,n,4,13,6,3,
453-6,n,n,6,13,6,4,
453-17,o,g,3,13,6,5,
453-16,l,g,5,13,6,6,
454-2,Na,Na,Na,13,7,1,
453-15,l,g,4,13,7,2,
453-16,o,g,5,13,7,3,
453-13,o,g,4,13,7,4,
454-1,Na,Na,Na,13,7,5,
453-12,l,s,4,13,7,6,
453-10,Na,Na,Na,13,8,1,
453-19,n,n,4,13,8,2,
454-8,o,g,4,13,8,3,
453-18,o,g,4,13,8,4,
454-7,Na,Na,Na,13,8,5,
454-6,Na,Na,Na,13,8,6,
456-4,n,n,2,14,1,1,
454-5,l,s,5,14,1,2,
458-4,Na,Na,Na,14,1,3,
456-3,l,n,4,14,1,4,
454-4,o,s,4,14,1,5,
454-3,l,n,4,14,1,6,
456-2,n,n,3,14,2,1,
456-1,l,n,5,14,2,2,
458-3,o,g,6,14,2,3,
454-9,Na,Na,Na,14,2,4,
458-2,n,n,3,14,2,5,
458-1,o,g,4,14,2,6,
456-6,l,s,6,14,3,1,
456-5,l,n,5,14,3,2,
458-9,o,g,4,14,3,3,
458-8,Na,Na,Na,14,3,4,
458-7,l,n,4,14,3,5,
458-6,l,n,5,14,3,6,
458-15,l,n,5,14,4,1,
458-5,l,n,4,14,4,2,
458-14,l,g,3,14,4,3,
458-13,Na,Na,Na,14,4,4,
458-12,l,n,4,14,4,5,
458-11,l,s,6,14,4,6,
458-10,n,n,4,14,5,1,
213-1,l,n,3,14,5,2,
458-19,o,g,4,14,5,3,
458-18,n,n,4,14,5,4,
458-17,l,g,2,14,5,5,
214-1,l,s,4,14,5,6,
213-6,Na,Na,Na,14,6,1,
232-10,o,g,5,14,6,2,
232-4,l,g,5,14,6,3,
232-9,l,g,5,14,6,4,
213-5,l,n,2,14,6,5,
232-3,o,g,2,14,6,6,
232-2,o,g,3,14,7,1,
232-8,n,g,4,14,7,2,
213-4,Na,Na,Na,14,7,3,
232-7,l,g,2,14,7,4,
232-1,l,g,4,14,7,5,
232-6,o,g,4,14,7,6,
213-3,n,n,2,14,8,1,
214-2,o,s,2,14,8,2,
458-16,n,n,2,14,8,3,
232-5,n,n,4,14,8,4,
213-2,l,g,4,14,8,5,
258-14,l,n,4,14,8,6,
258-13,n,n,3,15,1,1,
258-3,l,n,3,15,1,2,
233-18,o,n,4,15,1,3,
242-2,n,g,3,15,1,4,
255-4,l,g,5,15,1,5,
258-8,l,g,2,15,1,6,
258-2,n,s,1,15,2,1,
258-12,l,g,4,15,2,2,
258-1,o,g,1,15,2,3,
258-7,o,g,2,15,2,4,
241-3,n,n,1,15,2,5,
255-3,o,g,5,15,2,6,
242-1,o,g,5,15,3,1,
258-6,Na,Na,Na,15,3,2,
241-7,l,g,3,15,3,3,
258-11,l,g,5,15,3,4,
241-2,o,g,2,15,3,5,
255-2,n,n,3,15,3,6,
233-17,l,s,1,15,4,1,
256-1,l,n,5,15,4,2,
233-12,l,s,2,15,4,3,
258-5,l,s,2,15,4,4,
241-1,n,n,3,15,4,5,
258-10,n,s,3,15,4,6,
233-16,l,g,3,15,5,1,
241-6,n,s,2,15,5,2,
233-11,l,g,4,15,5,3,
255-1,l,g,4,15,5,4,
255-6,n,s,2,15,5,5,
258-4,n,n,1,15,5,6,
255-5,l,g,1,15,6,1,
258-9,l,g,4,15,6,2,
241-5,n,g,2,15,6,3,
247-1,Na,Na,Na,15,6,4,
233-20,o,g,3,15,6,5,
241-4,n,g,3,15,6,6,
233-15,l,s,4,15,7,1,
233-19,n,n,2,15,7,2,
233-10,n,g,1,15,7,3,
233-14,l,g,2,15,7,4,
233-9,l,s,4,15,7,5,
233-13,l,s,2,15,7,6,
233-7,l,s,1,15,8,1,
233-6,o,g,2,15,8,2,
233-1,l,s,3,15,8,3,
233-5,l,s,5,15,8,4,
232-20,o,g,1,15,8,5,
233-4,l,g,1,15,8,6,
232-16,o,g,2,16,1,1,
232-15,n,g,4,16,1,2,
232-14,l,g,4,16,1,3,
232-13,o,g,3,16,1,4,
232-12,o,g,5,16,1,5,
232-11,o,g,3,16,1,6,
232-19,l,g,5,16,2,1,
232-18,o,g,2,16,2,2,
233-3,l,n,2,16,2,3,
233-8,l,s,1,16,2,4,
233-17,o,g,1,16,2,5,
233-2,l,n,4,16,2,6,
258-20,l,n,2,16,3,1,
263-4,l,g,2,16,3,2,
258-19,n,n,3,16,3,3,
206-2,l,s,1,16,3,4,
258-18,o,g,4,16,3,5,
206-1,o,g,4,16,3,6,
258-23,n,g,3,16,4,1,
263-3,n,g,4,16,4,2,
258-17,n,g,2,16,4,3,
263-9,l,n,1,16,4,4,
263-2,l,g,3,16,4,5,
263-8,l,g,4,16,4,6,
263-14,l,g,3,16,5,1,
263-15,o,g,3,16,5,2,
263-19,l,s,4,16,5,3,
263-20,n,n,1,16,5,4,
263-1,l,s,3,16,5,5,
263-13,l,s,4,16,5,6,
258-22,l,s,1,16,6,1,
263-7,l,s,3,16,6,2,
258-16,l,n,5,16,6,3,
263-18,l,g,4,16,6,4,
258-15,l,g,4,16,6,5,
263-12,l,g,3,16,6,6,
258-21,l,n,2,16,7,1,
263-6,l,s,4,16,7,2,
206-4,l,g,4,16,7,3,
263-17,o,g,2,16,7,4,
263-11,l,g,2,16,7,5,
206-3,l,s,4,16,7,6,
263-16,o,g,2,16,8,1,
264-1,l,n,3,16,8,2,
263-5,n,n,1,16,8,3,
263-10,l,s,4,16,8,4,
264-2,n,n,2,17,1,1,
264-3,n,n,3,17,1,2,
264-4,o,s,1,17,1,3,
264-5,n,n,1,17,1,4,
264-6,l,s,1,17,1,5,
264-7,n,g,2,17,1,6,
264-8,n,g,2,17,2,1,
264-9,n,s,3,17,2,2,
264-10,o,s,1,17,2,3,
264-11,n,n,1,17,2,4,
264-12,l,s,2,17,2,5,
264-13,o,g,3,17,2,6,
265-1,l,g,6,17,3,1,
265-2,o,g,1,17,3,2,
265-3,l,n,3,17,3,3,
265-4,n,g,2,17,3,4,
